Channel,Channel Name
Channel 1,MEG0112+0113
Channel 2,MEG0122+0123
Channel 3,MEG0132+0133
Channel 4,MEG0142+0143
Channel 5,MEG0212+0213
Channel 6,MEG0222+0223
Channel 7,MEG0232+0233
Channel 8,MEG0242+0243
Channel 9,MEG0312+0313
Channel 10,MEG0322+0323
Channel 11,MEG0332+0333
Channel 12,MEG0342+0343
Channel 13,MEG0412+0413
Channel 14,MEG0422+0423
Channel 15,MEG0432+0433
Channel 16,MEG0442+0443
Channel 17,MEG0512+0513
Channel 18,MEG0522+0523
Channel 19,MEG0532+0533
Channel 20,MEG0542+0543
Channel 21,MEG0612+0613
Channel 22,MEG0622+0623
Channel 23,MEG0632+0633
Channel 24,MEG0642+0643
Channel 25,MEG0712+0713
Channel 26,MEG0722+0723
Channel 27,MEG0732+0733
Channel 28,MEG0742+0743
Channel 29,MEG0812+0813
Channel 30,MEG0822+0823
Channel 31,MEG0912+0913
Channel 32,MEG0922+0923
Channel 33,MEG0932+0933
Channel 34,MEG0942+0943
Channel 35,MEG1012+1013
Channel 36,MEG1022+1023
Channel 37,MEG1032+1033
Channel 38,MEG1042+1043
Channel 39,MEG1112+1113
Channel 40,MEG1122+1123
Channel 41,MEG1132+1133
Channel 42,MEG1142+1143
Channel 43,MEG1212+1213
Channel 44,MEG1222+1223
Channel 45,MEG1232+1233
Channel 46,MEG1242+1243
Channel 47,MEG1312+1313
Channel 48,MEG1322+1323
Channel 49,MEG1332+1333
Channel 50,MEG1342+1343
Channel 51,MEG1412+1413
Channel 52,MEG1422+1423
Channel 53,MEG1432+1433
Channel 54,MEG1442+1443
Channel 55,MEG1512+1513
Channel 56,MEG1522+1523
Channel 57,MEG1542+1543
Channel 58,MEG1612+1613
Channel 59,MEG1622+1623
Channel 60,MEG1632+1633
Channel 61,MEG1642+1643
Channel 62,MEG1712+1713
Channel 63,MEG1722+1723
Channel 64,MEG1732+1733
Channel 65,MEG1742+1743
Channel 66,MEG1822+1823
Channel 67,MEG1842+1843
Channel 68,MEG1922+1923
Channel 69,MEG1932+1933
Channel 70,MEG1942+1943
Channel 71,MEG2012+2013
Channel 72,MEG2022+2023
Channel 73,MEG2032+2033
Channel 74,MEG2042+2043
Channel 75,MEG2112+2113
Channel 76,MEG2122+2123
Channel 77,MEG2132+2133
Channel 78,MEG2142+2143
Channel 79,MEG2212+2213
Channel 80,MEG2222+2223
Channel 81,MEG2232+2233
Channel 82,MEG2312+2313
Channel 83,MEG2332+2333
Channel 84,MEG2412+2413
Channel 85,MEG2422+2423
Channel 86,MEG2432+2433
Channel 87,MEG2442+2443
Channel 88,MEG2512+2513
Channel 89,MEG2522+2523
Channel 90,MEG2532+2533
Channel 91,MEG2542+2543
Channel 92,MEG2612+2613
Channel 93,MEG2622+2623
Channel 94,MEG2642+2643
