accuracy,training set,testing set
0.7,"[8, 14, 15, 2, 4, 6, 7, 5, 10, 13, 1]","[12, 9, 3, 0, 11]"
0.7,"[9, 10, 11, 8, 15, 0, 4, 12, 2, 7, 3]","[1, 13, 5, 6, 14]"
0.4,"[14, 13, 9, 0, 1, 8, 15, 3, 4, 11, 10]","[7, 12, 6, 5, 2]"
0.7,"[4, 3, 0, 2, 12, 10, 14, 15, 7, 1, 5]","[11, 8, 9, 13, 6]"
0.7,"[2, 4, 10, 0, 14, 5, 1, 15, 6, 3, 8]","[11, 12, 9, 7, 13]"
0.7,"[7, 3, 2, 1, 5, 6, 10, 0, 14, 13, 11]","[15, 8, 12, 9, 4]"
0.5,"[10, 6, 11, 2, 4, 13, 8, 9, 14, 3, 15]","[1, 0, 7, 12, 5]"
0.7,"[5, 0, 12, 1, 13, 3, 14, 11, 4, 8, 6]","[10, 7, 2, 15, 9]"
0.6,"[2, 0, 3, 7, 8, 12, 4, 9, 15, 1, 14]","[5, 11, 13, 10, 6]"
0.8,"[9, 2, 12, 8, 5, 3, 6, 13, 11, 0, 1]","[15, 4, 10, 7, 14]"
